"INCIDENT_YEAR","construction","other","total","percent_construction"
"2018",49,1028,1077,4.5
"2019",22,1414,1436,1.5
"2020",27,604,631,4.3
"2021",48,812,860,5.6
"2022",32,1334,1366,2.3
"2023",15,4003,4018,0.4
"Total",193,9195,9388,2.1
