"INCIDENT_YEAR","other","pothole","total","percent_pothole"
"2018",3262,1173,4435,26.4
"2019",2705,2173,4878,44.5
"2020",2105,686,2791,24.6
"2021",2452,1085,3537,30.7
"2022",2116,1971,4087,48.2
"2023",3346,8775,12121,72.4
"Total",15986,15863,31849,49.8
