"INCIDENT_YEAR","other","pothole","total","percent_pothole"
"2018",1039,147,1186,12.4
"2019",495,230,725,31.7
"2020",198,41,239,17.2
"2021",87,67,154,43.5
"2022",169,156,325,48
"2023",538,770,1308,58.9
"Total",2526,1411,3937,35.8
