"INCIDENT_YEAR","construction","other","total","percent_construction"
"2018",179,1040,1219,14.7
"2019",202,1438,1640,12.3
"2020",178,903,1081,16.5
"2021",154,870,1024,15
"2022",195,1271,1466,13.3
"2023",75,4155,4230,1.8
"Total",983,9677,10660,9.2
