"INCIDENT_YEAR","Alameda","Alpine","Amador","Butte","Calaveras","Colusa","Contra Costa","Del Norte","El Dorado","Fresno","Glenn","Humboldt","Imperial","Inyo","Kern","Kings","Lake","Lassen","Los Angeles","Madera","Marin","Mariposa","Mendocino","Merced","Modoc","Mono","Monterey","Napa","Nevada","Orange","Placer","Plumas","Riverside","Sacramento","San Benito","San Bernardino","San Diego","San Francisco","San Joaquin","San Luis Obispo","San Mateo","Santa Barbara","Santa Clara","Santa Cruz","Shasta","Sierra","Siskiyou","Solano","Sonoma","Stanislaus","Sutter","Tehama","Trinity","Tulare","Tuolumne","Ventura","Yolo","Yuba"
2018,531,2,11,5,12,2,144,6,67,138,2,53,2,21,79,9,5,10,758,22,22,1,17,21,2,16,27,6,37,155,32,7,119,791,3,148,232,102,101,47,153,22,125,7,24,2,12,67,42,17,2,14,15,32,7,39,33,9
2019,497,2,7,18,5,0,264,7,33,83,2,31,10,4,105,8,10,9,880,23,56,6,15,23,6,14,19,10,32,241,111,8,233,226,5,261,313,125,103,35,269,18,225,18,55,4,17,93,51,39,6,17,7,37,10,25,41,19
2020,231,0,2,1,5,4,145,10,3,48,0,23,6,0,54,2,10,2,504,25,19,1,17,10,0,7,22,8,2,237,16,2,168,119,1,146,182,57,35,13,109,14,70,21,17,1,4,35,25,13,1,2,2,9,0,26,3,5
2021,223,4,4,0,1,0,120,5,0,69,0,56,12,1,74,6,9,1,556,81,35,41,8,29,1,3,8,6,0,276,2,0,78,5,4,89,308,129,48,14,250,21,103,8,2,0,2,77,21,17,0,1,1,22,0,25,0,0
2022,461,10,5,0,7,1,169,3,3,33,0,42,1,1,26,3,10,1,768,4,56,18,18,73,0,0,13,20,2,356,13,4,111,24,3,200,280,128,116,23,282,34,270,4,4,0,3,124,52,29,0,0,1,16,2,31,0,0
2023,1095,6,7,1,7,1,392,4,62,42,0,22,2,1,23,6,9,0,2450,4,110,4,19,362,0,5,45,36,15,827,280,1,234,106,22,689,641,431,363,143,823,40,1167,24,9,2,3,294,65,147,3,3,0,12,5,30,15,4
