"INCIDENT_YEAR","other","pothole","total","percent_pothole"
"2018",552,525,1077,48.7
"2019",575,861,1436,60
"2020",429,202,631,32
"2021",401,459,860,53.4
"2022",397,969,1366,70.9
"2023",348,3670,4018,91.3
"Total",2702,6686,9388,71.2
