"INCIDENT_YEAR","construction","other","total","percent_construction"
"2018",612,574,1186,51.6
"2019",118,607,725,16.3
"2020",91,148,239,38.1
"2021",5,149,154,3.2
"2022",12,313,325,3.7
"2023",21,1287,1308,1.6
"Total",859,3078,3937,21.8
