"INCIDENT_YEAR","other","pothole","total","percent_pothole"
"2018",924,295,1219,24.2
"2019",930,710,1640,43.3
"2020",776,305,1081,28.2
"2021",678,346,1024,33.8
"2022",855,611,1466,41.7
"2023",1121,3109,4230,73.5
"Total",5284,5376,10660,50.4
